Environment,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1
31,13.0,20.0,25.0,10.0,11.0,28.0,123.0,13.0,94.0,30.0,27.0,25.0,10.0,179.0,45.0,12.0,91.0,56.0,22.0,33.0,12.0,36.0,29.0,33.0,228.0,20.0,25.0,13.0,45.0,10.0,18.0,19.0,9.0,10.0,80.0,17.0,12.0,10.0,12.0,66.0,10.0,94.0,17.0,30.0,19.0,21.0,11.0,38.0,50.0,31.0
32,20.0,19.0,25.0,12.0,12.0,22.0,63.0,12.0,114.0,18.0,26.0,16.0,12.0,130.0,47.0,11.0,64.0,28.0,15.0,76.0,18.0,19.0,19.0,21.0,230.0,20.0,64.0,11.0,14.0,10.0,13.0,52.0,10.0,10.0,55.0,22.0,26.0,10.0,28.0,30.0,12.0,21.0,11.0,23.0,17.0,24.0,18.0,55.0,23.0,28.0
33,28.0,19.0,25.0,9.0,16.0,17.0,58.0,28.0,112.0,21.0,21.0,18.0,12.0,129.0,56.0,16.0,87.0,37.0,22.0,33.0,18.0,25.0,64.0,16.0,212.0,24.0,53.0,13.0,30.0,10.0,20.0,78.0,9.0,10.0,150.0,10.0,16.0,10.0,17.0,85.0,17.0,50.0,46.0,18.0,15.0,17.0,52.0,81.0,37.0,37.0
34,29.0,18.0,23.0,11.0,22.0,30.0,143.0,22.0,215.0,13.0,40.0,28.0,10.0,155.0,98.0,11.0,231.0,40.0,89.0,43.0,11.0,77.0,23.0,22.0,241.0,16.0,50.0,18.0,36.0,9.0,21.0,13.0,12.0,10.0,172.0,18.0,17.0,10.0,11.0,130.0,12.0,30.0,29.0,17.0,9.0,25.0,16.0,86.0,31.0,14.0
35,15.0,18.0,25.0,9.0,15.0,14.0,116.0,21.0,154.0,77.0,48.0,30.0,9.0,163.0,46.0,14.0,82.0,80.0,50.0,62.0,17.0,19.0,36.0,10.0,497.0,20.0,87.0,38.0,65.0,10.0,32.0,17.0,9.0,10.0,104.0,12.0,16.0,10.0,10.0,75.0,19.0,55.0,17.0,20.0,9.0,14.0,22.0,44.0,38.0,19.0
36,11.0,18.0,24.0,9.0,12.0,27.0,66.0,13.0,108.0,85.0,27.0,36.0,9.0,145.0,39.0,14.0,200.0,31.0,92.0,36.0,33.0,27.0,15.0,20.0,329.0,17.0,45.0,24.0,37.0,10.0,21.0,18.0,10.0,10.0,191.0,16.0,11.0,10.0,10.0,44.0,21.0,27.0,11.0,21.0,15.0,16.0,17.0,58.0,76.0,34.0
37,22.0,18.0,23.0,11.0,18.0,44.0,24.0,15.0,97.0,23.0,16.0,15.0,9.0,151.0,24.0,14.0,153.0,43.0,22.0,72.0,10.0,36.0,14.0,26.0,486.0,24.0,82.0,20.0,14.0,10.0,19.0,44.0,9.0,10.0,193.0,20.0,33.0,10.0,12.0,83.0,25.0,69.0,12.0,18.0,15.0,14.0,25.0,27.0,45.0,43.0
38,66.0,17.0,22.0,9.0,13.0,11.0,70.0,14.0,119.0,27.0,11.0,21.0,10.0,163.0,93.0,17.0,188.0,51.0,95.0,119.0,9.0,16.0,17.0,15.0,500.0,23.0,98.0,12.0,29.0,10.0,27.0,65.0,10.0,10.0,428.0,21.0,28.0,10.0,9.0,49.0,14.0,37.0,10.0,13.0,12.0,15.0,15.0,32.0,59.0,27.0
39,22.0,18.0,21.0,12.0,12.0,25.0,51.0,34.0,65.0,39.0,60.0,30.0,9.0,136.0,30.0,11.0,129.0,38.0,23.0,22.0,15.0,16.0,53.0,29.0,500.0,17.0,111.0,12.0,52.0,10.0,16.0,35.0,9.0,10.0,275.0,17.0,43.0,10.0,10.0,101.0,15.0,46.0,9.0,15.0,13.0,25.0,29.0,39.0,72.0,36.0
40,14.0,17.0,19.0,10.0,14.0,12.0,100.0,46.0,71.0,21.0,25.0,21.0,9.0,135.0,44.0,12.0,216.0,59.0,16.0,20.0,11.0,25.0,12.0,18.0,500.0,17.0,123.0,13.0,43.0,10.0,23.0,28.0,10.0,10.0,148.0,12.0,31.0,10.0,14.0,50.0,27.0,79.0,17.0,18.0,16.0,16.0,32.0,96.0,14.0,30.0
41,38.0,18.0,19.0,10.0,19.0,46.0,128.0,14.0,51.0,22.0,32.0,45.0,10.0,126.0,40.0,16.0,148.0,42.0,44.0,63.0,18.0,12.0,96.0,39.0,500.0,23.0,82.0,19.0,28.0,10.0,12.0,93.0,9.0,10.0,216.0,17.0,20.0,10.0,18.0,152.0,39.0,54.0,21.0,14.0,12.0,10.0,22.0,57.0,73.0,55.0
42,15.0,19.0,17.0,12.0,26.0,56.0,45.0,26.0,54.0,42.0,19.0,24.0,9.0,125.0,23.0,15.0,250.0,33.0,119.0,73.0,21.0,71.0,43.0,21.0,500.0,17.0,96.0,48.0,16.0,10.0,31.0,90.0,9.0,10.0,183.0,13.0,19.0,10.0,9.0,125.0,34.0,118.0,11.0,14.0,19.0,13.0,34.0,58.0,32.0,40.0
43,13.0,20.0,16.0,9.0,12.0,36.0,90.0,16.0,50.0,37.0,38.0,15.0,9.0,128.0,93.0,10.0,237.0,72.0,45.0,63.0,15.0,35.0,14.0,14.0,500.0,20.0,101.0,64.0,10.0,10.0,35.0,51.0,9.0,10.0,168.0,9.0,29.0,10.0,10.0,80.0,46.0,40.0,28.0,17.0,22.0,13.0,22.0,64.0,58.0,28.0
44,11.0,20.0,16.0,16.0,10.0,19.0,119.0,18.0,48.0,49.0,37.0,18.0,10.0,239.0,59.0,14.0,212.0,24.0,34.0,54.0,21.0,23.0,81.0,28.0,500.0,22.0,67.0,18.0,31.0,10.0,18.0,53.0,10.0,10.0,214.0,9.0,43.0,10.0,9.0,139.0,74.0,35.0,11.0,16.0,17.0,25.0,31.0,54.0,46.0,117.0
45,29.0,21.0,16.0,9.0,15.0,63.0,77.0,17.0,41.0,16.0,13.0,25.0,10.0,172.0,25.0,34.0,246.0,51.0,24.0,65.0,37.0,48.0,37.0,63.0,500.0,21.0,85.0,12.0,25.0,10.0,14.0,43.0,11.0,10.0,172.0,11.0,30.0,10.0,11.0,118.0,75.0,34.0,9.0,16.0,25.0,18.0,25.0,44.0,33.0,39.0
46,35.0,19.0,16.0,12.0,23.0,11.0,97.0,19.0,39.0,32.0,15.0,45.0,9.0,177.0,109.0,16.0,229.0,54.0,15.0,25.0,17.0,15.0,60.0,28.0,500.0,17.0,76.0,19.0,11.0,10.0,11.0,77.0,10.0,12.0,152.0,14.0,20.0,10.0,10.0,89.0,31.0,70.0,13.0,20.0,27.0,26.0,36.0,33.0,28.0,33.0
47,58.0,22.0,15.0,14.0,13.0,40.0,109.0,59.0,41.0,51.0,26.0,25.0,10.0,163.0,31.0,14.0,285.0,37.0,113.0,111.0,13.0,60.0,77.0,17.0,500.0,22.0,91.0,38.0,41.0,10.0,12.0,117.0,10.0,10.0,218.0,15.0,36.0,10.0,10.0,86.0,131.0,66.0,18.0,17.0,22.0,22.0,12.0,55.0,46.0,24.0
48,19.0,22.0,16.0,12.0,15.0,36.0,74.0,13.0,39.0,19.0,30.0,29.0,10.0,170.0,42.0,15.0,216.0,29.0,54.0,25.0,10.0,75.0,46.0,60.0,500.0,20.0,69.0,17.0,29.0,10.0,11.0,23.0,9.0,10.0,126.0,9.0,57.0,10.0,27.0,144.0,87.0,37.0,31.0,17.0,14.0,11.0,38.0,58.0,41.0,23.0
49,13.0,21.0,15.0,16.0,11.0,27.0,128.0,34.0,41.0,49.0,16.0,23.0,10.0,148.0,53.0,13.0,281.0,52.0,98.0,48.0,26.0,25.0,48.0,12.0,500.0,23.0,104.0,20.0,103.0,10.0,38.0,76.0,9.0,10.0,152.0,22.0,56.0,10.0,11.0,154.0,186.0,33.0,25.0,19.0,17.0,22.0,34.0,68.0,60.0,23.0
50,15.0,22.0,16.0,22.0,9.0,37.0,18.0,10.0,37.0,32.0,16.0,40.0,12.0,114.0,30.0,14.0,229.0,65.0,25.0,181.0,15.0,17.0,63.0,23.0,500.0,23.0,85.0,16.0,39.0,10.0,20.0,19.0,9.0,10.0,178.0,14.0,16.0,10.0,9.0,93.0,166.0,67.0,20.0,17.0,26.0,15.0,17.0,66.0,84.0,17.0
51,54.0,22.0,16.0,15.0,24.0,31.0,67.0,16.0,37.0,60.0,17.0,16.0,9.0,109.0,39.0,13.0,262.0,140.0,58.0,52.0,9.0,24.0,26.0,65.0,500.0,20.0,107.0,14.0,73.0,10.0,20.0,111.0,9.0,10.0,146.0,35.0,38.0,10.0,18.0,89.0,69.0,61.0,10.0,20.0,12.0,15.0,32.0,57.0,87.0,40.0
52,12.0,21.0,15.0,12.0,22.0,44.0,36.0,29.0,38.0,29.0,39.0,31.0,9.0,163.0,27.0,14.0,334.0,29.0,39.0,41.0,11.0,22.0,46.0,39.0,500.0,23.0,101.0,25.0,23.0,10.0,27.0,131.0,12.0,10.0,127.0,16.0,24.0,10.0,9.0,65.0,90.0,56.0,23.0,17.0,16.0,23.0,22.0,70.0,97.0,18.0
53,21.0,21.0,16.0,11.0,14.0,59.0,69.0,23.0,39.0,29.0,31.0,41.0,9.0,160.0,40.0,17.0,262.0,61.0,122.0,50.0,14.0,43.0,142.0,47.0,500.0,21.0,95.0,20.0,83.0,10.0,16.0,51.0,9.0,10.0,136.0,36.0,41.0,10.0,16.0,114.0,141.0,57.0,10.0,19.0,13.0,16.0,27.0,147.0,132.0,66.0
54,26.0,19.0,15.0,21.0,12.0,20.0,117.0,25.0,39.0,57.0,27.0,17.0,9.0,101.0,32.0,13.0,445.0,72.0,38.0,88.0,17.0,33.0,31.0,17.0,500.0,20.0,89.0,21.0,48.0,10.0,19.0,44.0,9.0,10.0,204.0,16.0,23.0,10.0,17.0,106.0,130.0,140.0,22.0,18.0,12.0,11.0,15.0,75.0,83.0,36.0
55,14.0,20.0,16.0,19.0,27.0,32.0,113.0,27.0,43.0,63.0,23.0,32.0,10.0,171.0,41.0,16.0,499.0,86.0,33.0,78.0,11.0,20.0,183.0,10.0,500.0,24.0,89.0,13.0,30.0,10.0,26.0,97.0,10.0,10.0,119.0,41.0,37.0,10.0,10.0,135.0,181.0,50.0,33.0,16.0,23.0,12.0,69.0,60.0,83.0,42.0
56,20.0,20.0,15.0,15.0,12.0,26.0,67.0,27.0,39.0,26.0,14.0,26.0,12.0,100.0,42.0,9.0,187.0,33.0,28.0,89.0,13.0,54.0,62.0,15.0,500.0,22.0,98.0,12.0,35.0,10.0,12.0,31.0,9.0,10.0,156.0,16.0,37.0,10.0,9.0,285.0,138.0,44.0,19.0,18.0,12.0,16.0,13.0,69.0,162.0,78.0
57,83.0,19.0,15.0,46.0,19.0,21.0,66.0,11.0,42.0,22.0,19.0,11.0,10.0,142.0,51.0,10.0,154.0,31.0,161.0,147.0,19.0,32.0,117.0,88.0,500.0,27.0,109.0,19.0,61.0,10.0,62.0,57.0,9.0,10.0,107.0,52.0,39.0,10.0,10.0,92.0,151.0,37.0,28.0,15.0,10.0,21.0,21.0,61.0,138.0,105.0
58,18.0,19.0,15.0,21.0,18.0,17.0,143.0,12.0,45.0,34.0,31.0,28.0,10.0,121.0,49.0,12.0,476.0,54.0,74.0,80.0,20.0,60.0,85.0,11.0,500.0,27.0,121.0,14.0,28.0,10.0,23.0,80.0,12.0,10.0,140.0,25.0,38.0,10.0,10.0,103.0,178.0,72.0,33.0,16.0,12.0,27.0,74.0,38.0,42.0,36.0
59,22.0,19.0,14.0,18.0,13.0,29.0,119.0,21.0,47.0,19.0,26.0,17.0,10.0,120.0,35.0,17.0,404.0,63.0,115.0,144.0,23.0,13.0,81.0,26.0,500.0,30.0,158.0,47.0,17.0,10.0,99.0,27.0,10.0,10.0,169.0,9.0,61.0,10.0,9.0,114.0,325.0,56.0,15.0,17.0,13.0,13.0,45.0,62.0,47.0,54.0
